NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.719,162.928,184.265,198.567,207.105,217.205,242.429,262.32,280.393,299.412,428.789,473.251,526.057,626.939,795.207,925.926,
,,,,,,,,,69.159,1.813,94.413,1.842,10.379,2.043,,,,1.790.630,244.732,2.850.731,64.686,352.425,216.583,14.968,,,4.891.425,1.869.369,2.850.731,4.491.458,18.212.956,475.694,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60.019,3.908,78.328,1.023,9.801,2.238,,,,1.850.649,248.64,2.929.059,65.709,362.226,218.821,14.968,,,4.951.444,1.873.277,2.929.059,4.492.481,18.222.757,477.932,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,51.236,3.615,64.827,750,6.675,2.147,,,,1.901.885,252.255,2.993.886,66.459,368.901,220.968,14.968,,,5.002.680,1.876.892,2.993.886,4.493.231,18.229.432,480.079,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,44.844,8.245,57.405,347,6.342,1.666,,,,1.946.729,260.5,3.051.291,66.806,375.243,222.634,14.968,,,5.047.524,1.885.137,3.051.291,4.493.578,18.235.774,481.745,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,133.719,45.651,2.889,50.44,511,11.245,2.845,,,133.719,1.992.380,263.389,3.101.731,67.317,386.488,225.479,14.968,,133.719,5.093.175,1.888.026,3.101.731,4.494.089,18.247.019,484.59,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29.209,47.29,1.082,68.77,679,10.806,1.683,,,162.928,2.039.670,264.471,3.170.501,67.996,397.294,227.162,14.968,,162.928,5.140.465,1.889.108,3.170.501,4.494.768,18.257.825,486.273,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21.337,40.565,1.586,61.566,644,8.97,1.985,,,184.265,2.080.235,266.057,3.232.067,68.64,406.264,229.147,14.968,,184.265,5.181.030,1.890.694,3.232.067,4.495.412,18.266.795,488.258,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14.302,41.487,682,44.922,811,8.891,3.957,,,198.567,2.121.722,266.739,3.276.989,69.451,415.155,233.104,14.968,,198.567,5.222.517,1.891.376,3.276.989,4.496.223,18.275.686,492.215,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.538,41.183,387,39.363,304,10.072,3.85,,,207.105,2.162.905,267.126,3.316.352,69.755,425.227,236.954,14.968,,207.105,5.263.700,1.891.763,3.316.352,4.496.527,18.285.758,496.065,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.1,36.276,589,37.057,493,12.509,3.644,,,217.205,2.199.181,267.715,3.353.409,70.248,437.736,240.598,14.968,,217.205,5.299.976,1.892.352,3.353.409,4.497.020,18.298.267,499.709,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25.224,41.665,254,44.413,378,13.234,4.251,,,242.429,2.240.846,267.969,3.397.822,70.626,450.97,244.849,14.968,,242.429,5.341.641,1.892.606,3.397.822,4.497.398,18.311.501,503.96,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19.891,31.323,283,36.074,143,16.346,7.94,,,262.32,2.272.169,268.252,3.433.896,70.769,467.316,252.789,14.968,,262.32,5.372.964,1.892.889,3.433.896,4.497.541,18.327.847,511.9,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18.073,33.993,152,33.146,331,14.756,5.099,,,280.393,2.306.162,268.404,3.467.042,71.1,482.072,257.888,14.968,,280.393,5.406.957,1.893.041,3.467.042,4.497.872,18.342.603,516.999,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19.019,36.224,296,28.096,481,14.477,3.946,,,299.412,2.342.386,268.7,3.495.138,71.581,496.549,261.834,14.968,,299.412,5.443.181,1.893.337,3.495.138,4.498.353,18.357.080,520.945,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,129.377,37.381,119,31.083,564,23.675,5.218,,,428.789,2.379.767,268.819,3.526.221,72.145,520.224,267.052,14.968,,428.789,5.480.562,1.893.456,3.526.221,4.498.917,18.380.755,526.163,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,44.462,108.161,202,43.908,405,16.588,2.862,,,473.251,2.487.928,269.021,3.570.129,72.55,536.812,269.914,14.968,,473.251,5.588.723,1.893.658,3.570.129,4.499.322,18.397.343,529.025,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52.806,103.141,5.232,38.887,,21.911,3.187,,,526.057,2.591.069,274.253,3.609.016,72.55,558.723,273.101,14.968,,526.057,5.691.864,1.898.890,3.609.016,4.499.322,18.419.254,532.212,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100.882,184.179,7.109,120.711,,37.569,5.588,,,626.939,2.775.248,281.362,3.729.727,72.55,596.292,278.689,14.968,,626.939,5.876.043,1.905.999,3.729.727,4.499.322,18.456.823,537.8,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,168.268,221.978,2.992,264.849,,46.45,8.716,,,795.207,2.997.226,284.354,3.994.576,72.55,642.742,287.405,14.968,,795.207,6.098.021,1.908.991,3.994.576,4.499.322,18.503.273,546.516,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,130.719,248.912,3.746,215.741,,36.695,9.292,,,925.926,3.246.138,288.1,4.210.317,72.55,679.437,296.697,14.968,,925.926,6.346.933,1.912.737,4.210.317,4.499.322,18.539.968,555.808,256.603,,,,,,,,,,,,,,,,,,,,
